jawOpen,mouthLowerDown_R,mouthLowerDown_L,mouthStretch_R,mouthStretch_L,mouthPucker,mouthFrown_R,mouthFrown_L,mouthClose,mouthFunnel,mouthUpperUp_L,mouthUpperUp_R,jawForward,mouthShrugLower,mouthShrugUpper,jawRight,jawLeft,mouthDimple_L,mouthDimple_R,mouthRollLower,mouthRollUpper,mouthLeft,mouthRight,mouthSmile_L,mouthSmile_R,mouthPress_L,mouthPress_R,movement
0.0043,0.0372,0.0403,0.0907,0.0921,0.1478,0.0,0.0,0.0079,0.1097,0.1456,0.1631,0.0237,0.4644,0.1424,0.0034,0.004,0.2515,0.2813,0.1058,0.0432,0.0,0.0193,0.3454,0.3643,0.2154,0.2218,0
0.0041,0.0367,0.0398,0.0895,0.0914,0.1484,0.0,0.0,0.0077,0.1102,0.1461,0.1641,0.0235,0.4675,0.1429,0.0032,0.0042,0.2537,0.2842,0.1061,0.043,0.0,0.0189,0.3455,0.3649,0.2242,0.2314,0
0.004,0.0363,0.0394,0.0881,0.0902,0.1487,0.0,0.0,0.0075,0.1115,0.1461,0.1644,0.0234,0.4688,0.1426,0.0029,0.0041,0.2549,0.286,0.1063,0.043,0.0,0.0184,0.3452,0.3652,0.2304,0.2376,0
0.0039,0.0358,0.0389,0.0874,0.0896,0.1487,0.0,0.0,0.0073,0.1123,0.1458,0.1646,0.0233,0.4692,0.1422,0.0027,0.0039,0.2555,0.2871,0.1066,0.043,0.0,0.0183,0.319,0.3574,0.2325,0.2397,0
0.0037,0.0352,0.0383,0.0869,0.0891,0.1485,0.0,0.0,0.0072,0.1126,0.1455,0.1645,0.0231,0.4667,0.1406,0.0025,0.0038,0.2558,0.2877,0.1065,0.0429,0.0,0.0183,0.3123,0.3544,0.2282,0.2326,0
0.0036,0.0347,0.0377,0.0866,0.0886,0.1483,0.0,0.0,0.007,0.1126,0.1452,0.1645,0.0229,0.4657,0.1399,0.0023,0.0037,0.2556,0.2877,0.1063,0.0426,0.0,0.0187,0.3086,0.3496,0.2256,0.2281,0
0.0036,0.0342,0.0373,0.0865,0.0884,0.1481,0.0,0.0,0.0069,0.1127,0.1447,0.1642,0.0227,0.4466,0.1392,0.0021,0.0037,0.2512,0.2835,0.1061,0.0426,0.0,0.0191,0.3047,0.3413,0.2242,0.2248,0
0.0035,0.0338,0.0368,0.0867,0.0884,0.1482,0.0,0.0,0.0069,0.1128,0.1443,0.164,0.0226,0.4418,0.1383,0.0019,0.0037,0.2499,0.2825,0.1062,0.0426,0.0,0.0201,0.3013,0.3382,0.2209,0.2189,0
0.0035,0.0334,0.0363,0.0869,0.0884,0.148,0.0,0.0,0.0068,0.1129,0.144,0.164,0.0226,0.4395,0.1368,0.0018,0.0037,0.2497,0.2823,0.1064,0.0427,0.0,0.0208,0.2994,0.3364,0.2187,0.2156,0
0.0035,0.0331,0.036,0.0872,0.0884,0.1479,0.0,0.0,0.0067,0.113,0.1438,0.1639,0.0226,0.435,0.1359,0.0025,0.0035,0.2494,0.2819,0.1064,0.0431,0.0,0.0214,0.2984,0.3354,0.2171,0.2111,0
