jawOpen,mouthLowerDown_R,mouthLowerDown_L,mouthStretch_R,mouthStretch_L,mouthPucker,mouthFrown_R,mouthFrown_L,mouthClose,mouthFunnel,mouthUpperUp_L,mouthUpperUp_R,jawForward,mouthShrugLower,mouthShrugUpper,jawRight,jawLeft,mouthDimple_L,mouthDimple_R,mouthRollLower,mouthRollUpper,mouthLeft,mouthRight,mouthSmile_L,mouthSmile_R,mouthPress_L,mouthPress_R,movement
0.0801,0.1418,0.1511,0.2786,0.2819,0.3912,0.3483,0.3513,0.0802,0.2332,0.019,0.0185,0.0677,0.0504,0.0622,0.0,0.0425,0.0084,0.0084,0.0417,0.0983,0.0028,0.0017,0.0,0.0,0.0101,0.0092,0
0.0805,0.1419,0.1511,0.2785,0.2818,0.3904,0.3483,0.3501,0.0806,0.2324,0.0191,0.0185,0.0678,0.0506,0.0623,0.0,0.0423,0.0085,0.0084,0.0419,0.098,0.0031,0.0016,0.0,0.0,0.0101,0.0092,0
0.0808,0.1421,0.1514,0.2785,0.2818,0.3898,0.3479,0.3486,0.0809,0.2318,0.0191,0.0185,0.0678,0.0507,0.0624,0.0,0.0424,0.0085,0.0085,0.042,0.0979,0.0034,0.0015,0.0,0.0,0.0101,0.0091,0
0.0809,0.1426,0.1517,0.2783,0.2816,0.3879,0.3476,0.347,0.0812,0.2311,0.0192,0.0186,0.0678,0.0507,0.0624,0.0,0.0423,0.0086,0.0085,0.042,0.0975,0.0036,0.0013,0.0,0.0,0.01,0.0091,0
0.0807,0.1428,0.1519,0.2781,0.2815,0.3829,0.3475,0.3462,0.0812,0.2304,0.0193,0.0186,0.0678,0.0507,0.0625,0.0,0.0424,0.0086,0.0085,0.0421,0.0971,0.0039,0.0012,0.0,0.0,0.01,0.009,0
0.0805,0.1427,0.1518,0.2782,0.2816,0.381,0.3479,0.346,0.0812,0.2298,0.0194,0.0187,0.0678,0.0509,0.0627,0.0,0.0423,0.0087,0.0086,0.0423,0.0967,0.004,0.0011,0.0,0.0,0.01,0.009,0
0.0803,0.1426,0.1516,0.2784,0.2818,0.3798,0.348,0.3461,0.0812,0.2293,0.0195,0.0187,0.0678,0.0511,0.0629,0.0,0.0424,0.0088,0.0086,0.0426,0.0967,0.0041,0.001,0.0,0.0,0.01,0.009,0
0.08,0.1425,0.1515,0.2785,0.2821,0.3798,0.3478,0.3457,0.0811,0.2292,0.0196,0.0188,0.0677,0.0512,0.0631,0.0,0.0425,0.0089,0.0087,0.0428,0.0963,0.0043,0.0009,0.0,0.0,0.01,0.009,0
0.0799,0.1425,0.1514,0.2789,0.2826,0.38,0.3474,0.3451,0.0813,0.2293,0.0196,0.0188,0.0677,0.0513,0.0632,0.0,0.0426,0.0089,0.0087,0.0429,0.0963,0.0045,0.0009,0.0,0.0,0.0099,0.009,0
0.0799,0.1427,0.1514,0.279,0.2828,0.3801,0.3469,0.3432,0.0816,0.2293,0.0197,0.0189,0.0677,0.0514,0.0633,0.0,0.0429,0.009,0.0088,0.043,0.0959,0.0049,0.0008,0.0,0.0,0.0099,0.0089,0
0.0798,0.1427,0.1514,0.2792,0.283,0.3801,0.3465,0.3425,0.0817,0.2294,0.0199,0.019,0.0678,0.0515,0.0635,0.0,0.0429,0.0091,0.0088,0.0433,0.0955,0.0049,0.0007,0.0,0.0,0.01,0.009,0
