jawOpen,mouthLowerDown_R,mouthLowerDown_L,mouthStretch_R,mouthStretch_L,mouthPucker,mouthFrown_R,mouthFrown_L,mouthClose,mouthFunnel,mouthUpperUp_L,mouthUpperUp_R,jawForward,mouthShrugLower,mouthShrugUpper,jawRight,jawLeft,mouthDimple_L,mouthDimple_R,mouthRollLower,mouthRollUpper,mouthLeft,mouthRight,mouthSmile_L,mouthSmile_R,mouthPress_L,mouthPress_R,movement
0.0122321,0.04940302,0.04260058,0.09296323,0.1000612,0.07482888,-0.0001191825,-9.364551e-06,0.008174757,0.1026017,0.030716,0.02138996,0.02467086,0.1009428,0.02633671,0.0002850512,0.006300213,0.1654819,0.09449358,0.0547658,0.04579387,0.09169117,0.0,0.2677491,0.1529296,0.03251617,0.02194132,0,
0.01214291,0.04980566,0.04307671,0.09306142,0.09984428,0.07486602,-0.0001096846,-8.618272e-06,0.007988852,0.1025715,0.03075414,0.02157638,0.02451698,0.09828039,0.02638814,0.0005628568,0.005816724,0.1592735,0.09443946,0.05446258,0.04564521,0.0872602,0.0,0.2622428,0.1538967,0.0325572,0.02212748,0,
0.01207207,0.05007171,0.04342894,0.09314588,0.09966139,0.07483435,-0.0001009436,-7.931465e-06,0.007840447,0.1029125,0.0308588,0.0217765,0.0244602,0.09722292,0.02657738,0.000768088,0.005363127,0.1572106,0.09444655,0.05427717,0.04554538,0.0853909,0.0,0.2538347,0.1493321,0.03271376,0.02241949,0,
0.01204522,0.0504008,0.04384109,0.0933347,0.0995003,0.07469247,-9.289919e-05,-7.299391e-06,0.00771579,0.1030319,0.03088789,0.02193858,0.02443463,0.09608048,0.02667189,0.001045874,0.004941054,0.154861,0.09436785,0.05409369,0.04550537,0.08363012,0.0,0.2503532,0.1480515,0.03269228,0.02255596,0,
0.01200374,0.05063926,0.04418987,0.0934971,0.09939697,0.07464053,-8.549587e-05,-6.717688e-06,0.007598846,0.1033846,0.03087867,0.02205127,0.02442024,0.09531811,0.02674217,0.00137,0.004550142,0.1536974,0.09429325,0.05393473,0.04551474,0.08246608,0.0,0.2454999,0.1463991,0.03270149,0.02273364,0,
0.01198012,0.05092543,0.04458521,0.09370032,0.09945029,0.0746065,-7.868254e-05,-6.182342e-06,0.007486371,0.1036447,0.03091422,0.02215178,0.02439426,0.09475592,0.02690478,0.001544853,0.004189058,0.1520836,0.09378642,0.05362003,0.04546954,0.08177939,0.0,0.2430926,0.1407077,0.03268176,0.02288654,0,
0.01197106,0.05115746,0.04490108,0.09394553,0.09964243,0.07467968,-7.241217e-05,-5.689659e-06,0.00739067,0.1039924,0.03085095,0.02217469,0.02436431,0.0940802,0.02693303,0.001711891,0.00385604,0.1510383,0.09323864,0.05337418,0.04551072,0.08136602,0.0,0.2409294,0.1386502,0.03258289,0.02295949,0,
0.01192466,0.05131199,0.04514052,0.09413885,0.09984862,0.07487652,-6.66415e-05,-5.236239e-06,0.007280126,0.1042358,0.03081868,0.02220449,0.02426884,0.09367031,0.02694037,0.001737657,0.003549182,0.1480007,0.0917841,0.05301316,0.0454649,0.08126956,0.0,0.238374,0.1352745,0.03245415,0.02299565,0,
0.01189735,0.05140619,0.0452948,0.09429619,0.1001058,0.07486804,-6.133071e-05,-4.818953e-06,0.007178844,0.104625,0.03074244,0.02216752,0.02421029,0.09320052,0.02683446,0.001672466,0.003324325,0.1469452,0.0909496,0.05271036,0.04558177,0.08151706,0.0,0.2372025,0.1320142,0.0323209,0.02301707,0,
0.01185776,0.05148457,0.04543233,0.09450039,0.1004083,0.07467952,-5.644314e-05,-4.434921e-06,0.007074967,0.1049427,0.03073539,0.02217917,0.02423168,0.09301285,0.02681741,0.001616503,0.003075467,0.146168,0.09022139,0.05247317,0.04558537,0.08179113,0.0,0.2362217,0.1297227,0.0321934,0.02301809,0,
0.01184653,0.05155141,0.04558029,0.09462295,0.1005962,0.07454474,-5.194507e-05,-4.081494e-06,0.006984562,0.1051557,0.03069475,0.02216979,0.02424106,0.0924947,0.02679115,0.001637806,0.002838975,0.1445277,0.08901458,0.05217569,0.04563051,0.0818361,0.0,0.2338044,0.126679,0.03203288,0.02299714,0,
0.01187144,0.05160856,0.04570854,0.09493423,0.1009169,0.07442053,-4.780547e-05,-3.756232e-06,0.006939023,0.1056162,0.03066424,0.02217023,0.02431171,0.09220617,0.02676567,0.001642298,0.002617334,0.1436804,0.08834477,0.05212054,0.04581225,0.08180498,0.0,0.2291462,0.1216388,0.03193018,0.02302257,0,
0.0118921,0.05163161,0.04581434,0.09516917,0.1011731,0.07442791,-4.399575e-05,-3.45689e-06,0.006897809,0.1059442,0.03067131,0.02218438,0.02435705,0.09196769,0.02678157,0.001610024,0.002411216,0.1424964,0.08758411,0.05199292,0.04591847,0.08173736,0.0,0.2272528,0.1178905,0.03181329,0.0230537,0,
0.01188609,0.05162795,0.04587454,0.09540575,0.1015645,0.07457565,-4.048965e-05,-3.181404e-06,0.006855047,0.1064074,0.03070918,0.02219843,0.02440403,0.0919854,0.02682194,0.001521926,0.002306396,0.1418223,0.08686306,0.05196008,0.04602385,0.08194586,0.0,0.2224022,0.1078009,0.03171824,0.02308496,0,
0.01187898,0.05159238,0.04590618,0.09555453,0.1019037,0.07462952,-3.726294e-05,-2.927871e-06,0.00680385,0.1066602,0.03078789,0.02221767,0.02441279,0.09186356,0.02687793,0.001422162,0.0022087,0.1403925,0.08464263,0.05180313,0.04604252,0.08238561,0.0,0.2204318,0.102477,0.03155987,0.02304801,0,
0.01186029,0.0515646,0.04595203,0.09569208,0.1022069,0.07465085,-3.429339e-05,-2.694543e-06,0.006752824,0.1070179,0.03092213,0.02227097,0.02444289,0.09189252,0.02700612,0.001320346,0.002078302,0.1396581,0.08359202,0.05171424,0.04599319,0.08281017,0.0,0.2192445,0.0998655,0.03145861,0.02305316,0,
0.01184888,0.05146755,0.04594041,0.09580883,0.1024958,0.07443871,-3.156048e-05,-2.47981e-06,0.006704804,0.1073375,0.03106897,0.02232775,0.0244585,0.09189823,0.02714149,0.001221291,0.002000133,0.1393966,0.0829273,0.05163057,0.04599227,0.08310746,0.0,0.2182802,0.09592062,0.03144714,0.02315845,0,
0.01181935,0.05140921,0.04596559,0.09581459,0.1026974,0.07428335,-2.904536e-05,-2.282189e-06,0.006647245,0.107632,0.0312672,0.02241568,0.02446508,0.09194378,0.02733879,0.001127264,0.001950038,0.1391037,0.08235094,0.05147468,0.04589904,0.08346182,0.0,0.2176043,0.09411521,0.03142908,0.02323764,0,
0.01179554,0.05133646,0.04600869,0.09574424,0.1026954,0.07404368,-2.673068e-05,-2.100317e-06,0.006600643,0.1075294,0.03136895,0.02243908,0.02444791,0.09169309,0.02743797,0.001132516,0.00183243,0.1386024,0.08176719,0.05130168,0.04588943,0.08352621,0.0,0.2169147,0.09233592,0.03132712,0.02324196,0,
0.0117406,0.05123936,0.04598769,0.09573929,0.1027942,0.07392637,-2.460046e-05,-1.932938e-06,0.006531691,0.1073452,0.03153333,0.0225236,0.02437204,0.09165555,0.02756158,0.001068965,0.001721894,0.1381983,0.08127778,0.05107467,0.04575743,0.08369073,0.0,0.2166862,0.09193537,0.03126768,0.02325834,0,
0.01170704,0.05112666,0.04593565,0.095628,0.1028413,0.07366274,-2.264e-05,-1.778899e-06,0.006467548,0.10721,0.03164586,0.02255789,0.02429375,0.09152684,0.0275228,0.0009980681,0.001688339,0.1381955,0.08094483,0.0509339,0.04572042,0.08401947,0.0,0.2169483,0.09200765,0.03117816,0.02326032,0,
0.0116504,0.05098408,0.04587452,0.09551588,0.1027602,0.07344706,-2.083577e-05,-1.637135e-06,0.006396154,0.1069549,0.03175958,0.02261397,0.02423299,0.09136049,0.02748769,0.0009261796,0.001588484,0.1378714,0.0805941,0.05076498,0.0456545,0.08410015,0.0,0.2166955,0.09177417,0.03107139,0.0232396,0,
0.01157863,0.05077359,0.04574116,0.09531612,0.102586,0.0732135,-1.917533e-05,-1.506668e-06,0.006325807,0.1067371,0.03188305,0.02268874,0.02412319,0.09145752,0.02752046,0.0008564648,0.00152152,0.1376561,0.08040811,0.05060763,0.04566438,0.08425483,0.0,0.209688,0.08892369,0.0310758,0.02329029,0,
0.01150857,0.05050901,0.04556087,0.09520742,0.1025305,0.07309391,-1.764721e-05,-1.386599e-06,0.006263056,0.1066145,0.03194435,0.02270859,0.02401418,0.09156242,0.02752458,0.000790403,0.001532564,0.137176,0.08002536,0.05047405,0.04559251,0.08447435,0.0,0.2065999,0.08542196,0.03101864,0.02330925,0,
0.01150105,0.05022249,0.04535047,0.09513523,0.1025833,0.07330443,-1.624087e-05,-1.276098e-06,0.006243848,0.1067404,0.03189086,0.02262861,0.0238327,0.09128192,0.02746717,0.0007285872,0.001625548,0.1315911,0.07744337,0.0502848,0.04571173,0.08491184,0.0,0.1972608,0.06602321,0.03089896,0.02327418,0,
0.01155871,0.04992643,0.0451084,0.09523933,0.1029517,0.07700658,-1.49466e-05,-1.174403e-06,0.006263332,0.1072095,0.03173262,0.02244554,0.02358548,0.09087411,0.02734837,0.0006711525,0.001896196,0.1221029,0.07112499,0.05005731,0.04589742,0.08744297,0.0,0.192581,0.05697299,0.03064241,0.02311786,0,
0.01168456,0.04983447,0.0449869,0.09544877,0.1053356,0.07999131,-1.375548e-05,-1.080813e-06,0.006313849,0.1089021,0.0316136,0.02225455,0.02339492,0.09090005,0.0273109,0.0006180031,0.002417443,0.1189727,0.06748065,0.04994714,0.04613315,0.09647098,0.0,0.1903392,0.05288591,0.03043162,0.02298595,0,
0.01191373,0.04991503,0.04500018,0.09574387,0.107894,0.08695453,-1.265927e-05,-9.946807e-07,0.006422174,0.1110246,0.031308,0.02192273,0.02316091,0.08852237,0.02716038,0.0005689331,0.002955668,0.1124188,0.06077479,0.04970288,0.04648908,0.1016779,0.0,0.1888421,0.05031661,0.03001321,0.02268304,0,
0.01223429,0.05007738,0.04505594,0.09625227,0.1130876,0.09976895,-1.165043e-05,-9.154126e-07,0.006606599,0.1178991,0.03090406,0.02151731,0.02293714,0.0869258,0.02696303,0.00052369,0.003574845,0.1048488,0.05502512,0.04960467,0.04704064,0.1075687,0.0,0.1831243,0.042808,0.02952843,0.0223108,0,
0.0126692,0.05049324,0.04530223,0.09870569,0.1224599,0.1077225,-1.072199e-05,-8.424616e-07,0.00684242,0.1204309,0.0304115,0.02106354,0.02273817,0.08454078,0.02675231,0.0004820076,0.004211922,0.09593838,0.04998323,0.04963076,0.04788453,0.1116074,0.0,0.1733889,0.0368478,0.02891811,0.02180859,0,
0.01310894,0.0508263,0.04549055,0.100926,0.1268561,0.1162553,-9.86753e-06,-7.753242e-07,0.007100579,0.1239298,0.02988678,0.02059786,0.02259154,0.08335258,0.02651401,0.0004436231,0.00474278,0.09201381,0.04747113,0.04971978,0.04962882,0.1134844,0.0,0.1644298,0.03333718,0.02835421,0.02135483,0,
0.0135379,0.0511062,0.04560975,0.1024054,0.1293093,0.1196259,-9.081167e-06,-7.135371e-07,0.007358578,0.12581,0.029316,0.02011267,0.02245184,0.08192165,0.0262322,0.0004082847,0.005252009,0.08982184,0.04587991,0.0499878,0.05117126,0.114786,0.0,0.1595922,0.03012424,0.02778885,0.02089595,0,
0.01395275,0.0515091,0.0458418,0.1037064,0.1314079,0.1222115,-8.357471e-06,-6.566739e-07,0.007610576,0.1271797,0.02874522,0.01964606,0.02233608,0.0789796,0.02592733,0.0003757556,0.005762499,0.08758357,0.04458389,0.05013616,0.05217448,0.1157592,0.0,0.157206,0.0290461,0.02720358,0.02041983,0,
0.01432643,0.05183459,0.04602603,0.1049779,0.133111,0.1235912,-7.691448e-06,-6.043423e-07,0.007855158,0.1280142,0.02821651,0.01921136,0.02227321,0.07769939,0.02572472,0.0003458151,0.006133011,0.08635185,0.04367223,0.05026697,0.05289894,0.1163475,0.0,0.149824,0.0251541,0.02666742,0.02000338,0,
0.01468708,0.05225588,0.04630386,0.1063537,0.1348241,0.1245791,-7.078501e-06,-5.561811e-07,0.00808402,0.1286821,0.02769635,0.01878328,0.02226369,0.07662749,0.02548746,0.0003182587,0.006561824,0.08514411,0.04283096,0.05037665,0.05350506,0.1168379,0.0,0.1456378,0.01828859,0.02610986,0.01957129,0,
0.01499767,0.0526162,0.0465236,0.1083858,0.1368077,0.1255681,-6.514401e-06,-5.118579e-07,0.008284279,0.1293308,0.02719155,0.01838341,0.022307,0.07599495,0.02519547,0.0002928972,0.006978511,0.0841275,0.04212853,0.05051274,0.05386522,0.1169994,0.0,0.1425501,0.0159007,0.02554777,0.01915117,0,
0.01530972,0.05303341,0.04680967,0.1097946,0.1379803,0.1260212,-5.995256e-06,-4.71067e-07,0.008463046,0.1298416,0.02669365,0.01799222,0.02238101,0.07537006,0.02487512,0.0002695563,0.007292902,0.08351161,0.04161863,0.0506411,0.05430831,0.1169637,0.0,0.1413273,0.01491917,0.02502017,0.01876418,0,
0.01562687,0.05354726,0.04716097,0.1106966,0.1389176,0.1261598,-5.517482e-06,-4.335267e-07,0.008624814,0.1305135,0.02620292,0.01761054,0.0224357,0.07442101,0.02448106,0.0002480752,0.007718044,0.08297582,0.04110186,0.05071248,0.05481372,0.1172245,0.0,0.1412655,0.01658681,0.02450561,0.01837854,0,
0.01593376,0.05405927,0.04751228,0.1114717,0.1399136,0.1264373,-5.077783e-06,-3.989781e-07,0.008785906,0.1309104,0.02578525,0.01726804,0.02249869,0.07370408,0.0241805,0.0002283058,0.008129643,0.08245511,0.04054716,0.05080068,0.05522267,0.1176532,0.0,0.1415562,0.0169613,0.02403236,0.01802167,0,
0.01623996,0.05461857,0.04790227,0.1121656,0.1407396,0.1266197,-4.673124e-06,-3.671828e-07,0.008949552,0.1311802,0.02541712,0.01696417,0.02255407,0.07305165,0.02391482,0.0002101117,0.008457529,0.08203266,0.04006219,0.05091228,0.05558288,0.11805,0.0,0.1418842,0.01728945,0.02357755,0.01766706,0,
0.01642786,0.05506324,0.0481722,0.1128901,0.1421759,0.1269067,-4.300714e-06,-3.379212e-07,0.009054441,0.1316804,0.02511991,0.01670588,0.02261176,0.07292906,0.0236807,0.0001933675,0.008922248,0.08186764,0.03968496,0.05110102,0.05571594,0.1186682,0.0,0.1420372,0.01728437,0.02316876,0.01734624,0,
0.0165761,0.05555231,0.04847574,0.1134069,0.1429433,0.1271701,-3.957982e-06,-3.109916e-07,0.009130968,0.1320409,0.02481608,0.01644873,0.02262554,0.07257095,0.02343953,0.0001779577,0.009367154,0.08149738,0.03920557,0.05112493,0.05572946,0.1193422,0.0,0.142593,0.01749447,0.02276746,0.01702664,0,
0.01667348,0.05597161,0.04873556,0.1138417,0.1434352,0.1272672,-3.642562e-06,-2.862081e-07,0.009190328,0.132316,0.02458553,0.01625999,0.0226726,0.07250521,0.02329705,0.0001637759,0.00972787,0.0811614,0.03884907,0.05122387,0.05561142,0.1197384,0.0,0.1424641,0.01740377,0.02244247,0.01675573,0,
0.01679685,0.05645784,0.04908995,0.1143701,0.1438291,0.1271176,-3.352279e-06,-2.633996e-07,0.009283969,0.1326298,0.02439822,0.01610366,0.02283781,0.07235683,0.02320324,0.0001507243,0.009890355,0.08115976,0.03869735,0.05144577,0.05564483,0.1198,0.0,0.1424313,0.01728895,0.02217728,0.01654839,0,
0.01695506,0.05699951,0.04949423,0.1147505,0.1440542,0.127082,-3.08513e-06,-2.424088e-07,0.009379595,0.1329749,0.02419563,0.01593372,0.02292515,0.0720746,0.02309045,0.0001387128,0.01002648,0.08109973,0.03848615,0.05157929,0.05573554,0.1200836,0.0,0.1426876,0.01727337,0.02193176,0.01634991,0,
0.01724346,0.05818539,0.05010473,0.115393,0.1446885,0.1443004,3.607661e-05,-2.230908e-07,0.009498138,0.1342634,0.02395955,0.01574178,0.02286362,0.07157114,0.02301758,0.0001276585,0.01017414,0.07457396,0.0371344,0.0512018,0.05570281,0.1204257,0.0,0.1368435,0.01378692,0.02154445,0.01604548,0,
0.02505829,0.08795016,0.07261834,0.1467098,0.182837,0.2281391,4.394192e-05,-2.053122e-07,0.009904669,0.1883401,0.02356134,0.015442,0.02285435,0.05814803,0.02291933,0.0001174852,0.01037269,0.04317555,0.02899704,0.04778106,0.05693811,0.1209047,0.0,0.1350084,0.0124311,0.02079764,0.01554472,0,
0.1625607,0.3005427,0.2912781,0.2048199,0.2473287,0.2556604,4.618883e-05,-1.889505e-07,0.06145409,0.2881635,0.0236403,0.01554053,0.03948683,0.03919463,0.03860929,0.0002403137,0.009820708,0.03268614,0.02398394,0.04338443,0.09429912,0.12258,0.0,0.1275214,0.01170776,0.01989422,0.01501889,0,
0.3694676,0.5397224,0.5428163,0.2217075,0.247863,0.2604538,4.558495e-05,-1.738927e-07,0.160966,0.3273458,0.02872678,0.01869453,0.07715143,0.02859003,0.1399127,0.02984675,0.009209758,0.02792655,0.02194016,0.04169144,0.1040839,0.07803098,0.0,0.1253838,0.04409975,0.01964078,0.01494895,0,
0.5368804,0.6170334,0.6231281,0.2304094,0.2526027,0.1944165,4.359915e-05,-1.600348e-07,0.2152618,0.3449935,0.03223789,0.02174693,0.08854047,0.02101325,0.1992572,0.03785782,0.008567706,0.02568208,0.02078483,0.04016126,0.1062509,0.06656395,0.0,0.07909341,0.02143666,0.01950065,0.014982,0,
0.6300728,0.6575042,0.6640831,0.2354197,0.2554053,0.179589,0.008370795,-1.472813e-07,0.2398221,0.3539808,0.03380405,0.02317299,0.09432362,0.01713064,0.219594,0.03947052,0.007934113,0.02462746,0.02006489,0.03875493,0.1052809,0.0613763,0.0,0.05305423,0.01398212,0.01938302,0.01502954,1,
