jawOpen,mouthLowerDown_R,mouthLowerDown_L,mouthStretch_R,mouthStretch_L,mouthPucker,mouthFrown_R,mouthFrown_L,mouthClose,mouthFunnel,mouthUpperUp_L,mouthUpperUp_R,jawForward,mouthShrugLower,mouthShrugUpper,jawRight,jawLeft,mouthDimple_L,mouthDimple_R,mouthRollLower,mouthRollUpper,mouthLeft,mouthRight,mouthSmile_L,mouthSmile_R,mouthPress_L,mouthPress_R,movement
0.06573135,0.4577618,0.5195931,0.1064055,0.1160183,0.01462724,0.0,0.0,0.002993038,0.05469325,0.2942761,0.2448738,0.07173732,0.01106455,0.1543187,0.0,0.007383201,0.0812979,0.06080712,0.009256531,0.007861216,0.01896774,0.0007205497,0.8663121,0.8263632,0.02489957,0.02114259,0,
0.06586735,0.458366,0.5213228,0.1063131,0.1158303,0.01493796,0.0,0.0,0.003050843,0.05520734,0.2940908,0.2450466,0.07136582,0.01131737,0.1552697,0.0,0.007123188,0.08121206,0.06085446,0.00941266,0.008042267,0.01925039,0.0006631278,0.8662336,0.8281795,0.02500159,0.02128068,0,
0.06627811,0.4981544,0.5579966,0.1062516,0.1158136,0.01505661,0.0,0.0,0.003092279,0.05540055,0.3048698,0.2614102,0.07125247,0.01135662,0.1573721,0.0,0.007060705,0.08102,0.06085321,0.009483073,0.008156858,0.01936362,0.0006102819,0.8724716,0.8438998,0.02499581,0.02130976,0,
0.06712565,0.5411792,0.6044272,0.105984,0.1156411,0.01503908,0.0,0.0,0.00310425,0.05519696,0.3198708,0.2800005,0.07118607,0.01120064,0.1610357,0.0,0.006956893,0.08019632,0.06057906,0.009423876,0.008179073,0.0192004,0.0005616474,0.8875242,0.8663421,0.02481541,0.02116966,0,
0.07017757,0.5668707,0.6265725,0.1059506,0.1157715,0.01491781,0.0,0.0,0.003107425,0.05481426,0.3312417,0.2890794,0.07125785,0.01093418,0.1624908,0.0,0.006950351,0.07963604,0.06030483,0.009307133,0.00816624,0.01910306,0.0005168886,0.8977423,0.8771557,0.02456214,0.02095445,0,
0.07435448,0.5860393,0.6430035,0.1059869,0.1159665,0.01469312,0.0,0.0,0.003104951,0.05428589,0.3403929,0.2965507,0.07143623,0.01058922,0.1633341,0.0,0.00703621,0.07912879,0.06002135,0.009137954,0.008128386,0.01906704,0.0004756968,0.9043176,0.8839935,0.02422462,0.02066432,0,
0.07760392,0.6055098,0.6627126,0.1063527,0.1171795,0.01441307,0.0,0.0,0.003085219,0.05362199,0.3485689,0.3029305,0.07171468,0.01023635,0.1636152,0.0,0.007200847,0.07887526,0.05989194,0.008964712,0.008068161,0.01919008,0.0004377876,0.9101743,0.8901561,0.02384904,0.02035318,0,
0.0818008,0.6233321,0.6792815,0.1068838,0.1192679,0.01412441,0.0,0.0,0.003064787,0.0529599,0.355148,0.3092614,0.07204322,0.009883342,0.1633078,0.0,0.007489951,0.07872926,0.05984889,0.008783152,0.007989106,0.0191766,0.0004028994,0.9167575,0.8983576,0.02345137,0.02003891,0,
0.08561593,0.6342132,0.6880074,0.1085034,0.1239363,0.01383437,0.0,0.0,0.003041587,0.05227929,0.3581027,0.3129875,0.07234231,0.009545794,0.1609782,0.0,0.007812487,0.07866537,0.05985371,0.008604792,0.007894893,0.01896232,0.0003707916,0.9213342,0.9044436,0.02303649,0.01970599,0,
0.08770312,0.6491225,0.7017405,0.1116211,0.1294679,0.0135335,0.0,0.0,0.00300919,0.05148193,0.3640236,0.3205401,0.07261211,0.009213413,0.1592538,0.0,0.008176033,0.0786956,0.05993472,0.008431147,0.007787875,0.01873381,0.0003412425,0.9244305,0.9083896,0.02260153,0.01936686,0,
0.09023922,0.6576343,0.7094691,0.113181,0.1318299,0.01324047,0.0,0.0,0.002976774,0.05072515,0.3673229,0.3233346,0.0728787,0.008897682,0.1582078,0.0,0.008529861,0.07879677,0.05998628,0.008255957,0.007685113,0.01859049,0.0003140482,0.926666,0.9108248,0.02218742,0.01903297,0,
0.09150964,0.6615654,0.7130305,0.1140579,0.1331565,0.01294945,0.0,0.0,0.00294223,0.0497523,0.3696747,0.3256586,0.07305767,0.00860457,0.1547388,0.0,0.008951928,0.07899138,0.06014785,0.008085096,0.00757471,0.01827141,0.0002890211,0.9295466,0.914518,0.02181977,0.01874288,0,
0.09248984,0.663703,0.7149798,0.1157376,0.1356728,0.01267337,0.0,0.0,0.002913238,0.04901023,0.3709487,0.3269731,0.07327108,0.008339277,0.1496418,0.0,0.009375876,0.07941204,0.0604918,0.007951604,0.00747789,0.0179333,0.0002659884,0.9310014,0.916234,0.02145809,0.01847331,0,
0.09332165,0.6656319,0.7168044,0.1167171,0.1369517,0.01239233,0.0,0.0,0.002876686,0.04827878,0.3745819,0.3294912,0.07343515,0.008083018,0.1470363,0.0,0.009727897,0.07997179,0.06087807,0.007802898,0.007382419,0.01761963,0.0002447913,0.9335269,0.9193133,0.0211296,0.018227,0,
0.09352838,0.666622,0.7177415,0.1173991,0.1377094,0.01209594,0.0,0.0,0.002832178,0.04755484,0.3759502,0.330673,0.07354382,0.007829857,0.1430161,0.0,0.01002215,0.08058809,0.0613878,0.00766227,0.007298791,0.01722428,0.0002252834,0.9349337,0.9210033,0.02082726,0.01799782,0,
0.09369438,0.667182,0.7183709,0.1180595,0.1384136,0.01179887,0.0,0.0,0.002787164,0.04682459,0.3767627,0.3314192,0.07353847,0.007592052,0.1412232,0.0,0.01026746,0.08204706,0.06211737,0.007520246,0.007227331,0.01685305,0.0002073301,0.9362358,0.9226177,0.02054175,0.01777752,0,
0.09360901,0.6670334,0.7183402,0.1186098,0.1390447,0.0115002,0.0,0.0,0.002740511,0.04616847,0.3771898,0.3317342,0.0735454,0.007389818,0.1384549,0.0,0.01048317,0.08575545,0.06391826,0.007401349,0.007174359,0.01653248,0.0001908076,0.9373374,0.9237345,0.0203426,0.01764354,0,
0.09323223,0.6540424,0.7095969,0.1193106,0.1397913,0.01122808,0.0,0.0,0.002692611,0.04556804,0.3774885,0.3318965,0.07331466,0.007223216,0.1371381,0.0,0.01071745,0.08885974,0.06566781,0.007301278,0.007122756,0.0162937,0.0001756017,0.9381311,0.9245213,0.02016668,0.0175193,0,
