jawOpen,mouthLowerDown_R,mouthLowerDown_L,mouthStretch_R,mouthStretch_L,mouthPucker,mouthFrown_R,mouthFrown_L,mouthClose,mouthFunnel,mouthUpperUp_L,mouthUpperUp_R,jawForward,mouthShrugLower,mouthShrugUpper,jawRight,jawLeft,mouthDimple_L,mouthDimple_R,mouthRollLower,mouthRollUpper,mouthLeft,mouthRight,mouthSmile_L,mouthSmile_R,mouthPress_L,mouthPress_R,movement
0.004192272,0.02437626,0.03182047,0.06883977,0.0709975,0.05700742,-7.587989e-05,0.03502759,0.001729876,0.04877472,0.07532774,0.07911585,0.01018351,0.2127729,0.125253,0.04449975,0.0,0.07810195,0.09142023,0.03448007,0.01803347,1.561237e-06,0.007324756,9.456679e-05,0.03706391,0.03004563,0.02894318,0,
0.004196207,0.02437486,0.03183234,0.06880374,0.07107142,0.05700647,-6.983287e-05,0.03351191,0.001732088,0.04881916,0.07509864,0.07879674,0.01016919,0.2113566,0.1246631,0.0443981,0.0,0.07787375,0.09110563,0.03424363,0.01803867,1.436818e-06,0.007307897,8.703057e-05,0.03886625,0.02997663,0.02889438,0,
0.004212093,0.02439301,0.03188631,0.06898974,0.07128764,0.05714939,-6.426776e-05,0.03225994,0.001737281,0.04892533,0.07515014,0.07881097,0.0101513,0.2103966,0.1247296,0.04439814,0.0,0.07764564,0.09093715,0.03403812,0.01804017,1.322316e-06,0.007421613,8.009493e-05,0.0417708,0.02993738,0.02886266,0,
0.004228584,0.02440634,0.0319372,0.06916373,0.07150935,0.0572628,-5.914613e-05,0.02849679,0.001739798,0.04903022,0.07523994,0.07887132,0.01012428,0.2094941,0.1247544,0.04435479,0.0,0.07741591,0.0907203,0.03383234,0.01801209,1.216938e-06,0.007490169,7.371201e-05,0.04540199,0.02988185,0.02883205,0,
0.004241586,0.02443369,0.03200991,0.06926801,0.07163714,0.05738066,-5.443266e-05,0.02688706,0.001741518,0.04910324,0.07541595,0.07904457,0.01010417,0.2090953,0.1249991,0.04440144,0.0,0.07726649,0.09067336,0.03364216,0.01798865,1.119957e-06,0.007635027,6.783776e-05,0.04866146,0.02989491,0.02886267,0,
0.004249917,0.02443251,0.0320389,0.06948719,0.07186487,0.05742767,-5.009481e-05,0.02581854,0.001740218,0.04920694,0.07548195,0.07911558,0.0100867,0.2085927,0.1249579,0.04444107,0.0,0.07708704,0.09059102,0.03345793,0.01795193,1.030706e-06,0.007827211,6.243164e-05,0.05020744,0.02986419,0.02884731,0,
0.004257266,0.02440413,0.03203082,0.06970741,0.07205378,0.05737396,-4.610266e-05,0.02541004,0.001735222,0.04923044,0.07580977,0.0795014,0.01007157,0.208811,0.1255253,0.04452696,0.0,0.0770379,0.09069774,0.03332435,0.01787839,9.485668e-07,0.008132487,5.745634e-05,0.05102835,0.02988881,0.02889238,0,
0.004251682,0.02436839,0.03200925,0.06981727,0.07213371,0.05728357,-4.242865e-05,0.02470817,0.001726812,0.04923996,0.07611663,0.07985287,0.01004812,0.2090607,0.1259553,0.04458407,0.0,0.07715732,0.09097831,0.03322463,0.01780014,8.729736e-07,0.008380716,5.287753e-05,0.05217194,0.02994358,0.02896389,0,
0.004257069,0.02437211,0.03205133,0.07000119,0.07231186,0.05718483,-3.904743e-05,0.02437194,0.001723136,0.04927013,0.07626348,0.08003754,0.01004872,0.2087954,0.126294,0.04470007,0.0,0.07703711,0.09099098,0.03307154,0.01773918,8.034046e-07,0.008615208,4.866362e-05,0.05285141,0.02991064,0.02895218,0,
0.004256715,0.02437249,0.0320754,0.070118,0.07243516,0.05715897,-3.593566e-05,0.0241312,0.001719955,0.04932338,0.07648389,0.08027468,0.01004902,0.2090924,0.1266693,0.04473508,0.0,0.07705943,0.09116706,0.03292605,0.01771099,7.393797e-07,0.008831299,4.478552e-05,0.05327851,0.02999054,0.02903219,0,
